BP2673	NZ_CP013090.1	100.00	951	0	0	1	951	234371	235321	0.0	1757
BP2673	NZ_CP013090.1	100.00	951	0	0	1	951	1248983	1249933	0.0	1757
BP2673	NZ_CP013090.1	100.00	951	0	0	1	951	4038285	4039235	0.0	1757
BP2673	NZ_CP013090.1	99.89	951	1	0	1	951	521010	520060	0.0	1751
BP2673	NZ_CP013090.1	99.78	919	2	0	33	951	3410106	3409188	0.0	1687
BP2673	NZ_CP013090.1	100.00	835	0	0	33	867	78681	79515	0.0	1543
BP1388	NZ_CP013090.1	100.00	1017	0	0	1	1017	1758796	1757780	0.0	1879
BP1388	NZ_CP013090.1	100.00	1017	0	0	1	1017	2186233	2187249	0.0	1879
BP1388	NZ_CP013090.1	100.00	1017	0	0	1	1017	2616483	2615467	0.0	1879
BP1388	NZ_CP013090.1	100.00	1017	0	0	1	1017	2640594	2641610	0.0	1879
BP1388	NZ_CP013090.1	100.00	1017	0	0	1	1017	3057079	3058095	0.0	1879
BP1388	NZ_CP013090.1	99.90	1017	1	0	1	1017	609570	610586	0.0	1873
BP1388	NZ_CP013090.1	99.90	1017	1	0	1	1017	1200573	1201589	0.0	1873
BP1388	NZ_CP013090.1	99.90	1017	1	0	1	1017	2987818	2988834	0.0	1873
BP1388	NZ_CP013090.1	99.90	1017	1	0	1	1017	3170825	3171841	0.0	1873
BP1388	NZ_CP013090.1	99.80	1017	2	0	1	1017	114943	115959	0.0	1868
BP1388	NZ_CP013090.1	99.80	1017	2	0	1	1017	591825	590809	0.0	1868
BP1388	NZ_CP013090.1	99.80	1017	2	0	1	1017	1978771	1979787	0.0	1868
BP1388	NZ_CP013090.1	99.80	1017	2	0	1	1017	3843584	3844600	0.0	1868
BP1388	NZ_CP013090.1	99.71	1017	3	0	1	1017	625119	624103	0.0	1862
BP1388	NZ_CP013090.1	99.71	1017	3	0	1	1017	2979196	2978180	0.0	1862
BP1388	NZ_CP013090.1	99.71	1017	3	0	1	1017	2997187	2998203	0.0	1862
BP0023	NZ_CP013090.1	100.00	951	0	0	1	951	413336	412386	0.0	1757
BP0023	NZ_CP013090.1	100.00	951	0	0	1	951	430322	431272	0.0	1757
BP0023	NZ_CP013090.1	100.00	951	0	0	1	951	1468821	1467871	0.0	1757
BP0023	NZ_CP013090.1	100.00	951	0	0	1	951	1964614	1965564	0.0	1757
